id,name,SSN,date,loan_amt,amt_due,amt_paid,statecode,age,married,educ,W2inc_m1,W2inc_m2,taxdependent,creditscore,asset,debt,unemprate,avg_homeprice
203,Patti Mclaughlin,909-296-590,02-04-2016,41900,55412,25821,01,47,1,2,34660.914,29064.127,1,674,52100,0,7.6199999,189212
204,Jeanne Quinn,240-285-645,09-04-2016,43900,58057,58057,02,36,1,2,65096.789,41782.727,3,703,44000,0,6.3600001,171402
205,April Wallace,769-349-311,07-07-2016,63600,84110,84110,03,37,1,2,96776.57,109985.09,2,777,57000,65000,6.4400001,211240
206,Silvia Fitzgerald,887-286-431,04-07-2016,42100,55677,55677,03,35,1,2,37867.316,31978.635,3,602,39000,0,6.4200001,195000
207,Rafael Dennis,468-438-265,07-03-2016,42200,55809,26624,01,33,1,3,33660.867,51225.398,2,581,42200,107300,6.73,211026
208,Garry Martin,979-591-448,06-06-2016,48600,64273,64273,03,32,0,2,79810.805,74566.727,0,690,44500,7300,6.7800002,203928
209,Kristopher Alexander,879-895-786,05-06-2016,42200,55809,55809,02,38,1,3,30236.232,47879.836,1,639,44400,35200,6.4000001,194475
210,Sheila Cook,736-788-394,04-07-2016,43900,58057,58057,05,38,0,2,56679.387,62162.918,0,723,61200,62000,6.4200001,253414
211,Rose Sandoval,665-876-242,10-07-2016,42100,55677,21323,03,31,0,2,38561.723,68265.156,0,579,37500,60900,6.0500002,179585
212,Jessie Greene,873-903-483,07-05-2016,43200,57131,57131,01,36,1,3,16171.69,15739.293,3,563,61200,46100,6.7800002,184155
213,Victor Holloway,072-961-016,06-06-2016,42400,56073,30570,02,42,1,2,41086.207,43046.742,2,669,52200,124800,6.8200002,195008
214,Dawn Franklin,660-632-673,04-06-2016,45300,59909,59909,01,28,0,2,12460.208,11027.471,0,554,36600,0,6.0700002,177914
215,Ross Jordan,749-916-144,07-01-2016,42200,55809,55809,04,36,1,1,40788.781,43444.055,1,649,58500,0,6.8299999,180554
216,Norman Thornton,062-910-112,08-06-2016,46000,60834,60834,05,29,0,2,67375.414,38846.398,0,670,43600,253100,6.21,181397
217,Jaime Stanley,639-488-991,09-07-2016,42700,56470,56470,03,37,1,2,46054.547,37981.578,3,663,37800,19300,5.8800001,177462
218,Wilfred Hodges,024-418-706,07-07-2016,42800,56602,26757,04,32,0,3,26674.727,11786.823,0,579,40300,0,6.73,182607
219,Nathan Berry,010-730-915,06-01-2016,42800,56602,22030,03,15,0,3,26448.477,20529.59,0,500,55800,0,6.9400001,179349
220,Derek Cummings,410-270-317,03-04-2016,63300,83714,16858,01,33,0,2,0,27935.725,0,467,24600,49900,7.1599998,210311
221,Kim Kelly,039-213-056,04-06-2016,42100,55677,20217,03,41,0,2,16091.178,30367.867,0,581,55400,0,6.4400001,194198
222,Javier Keller,686-399-087,05-03-2016,42800,56602,56602,04,39,0,3,49088.125,62578.984,0,618,46700,114600,5.7199998,174244
223,Daisy Murray,542-471-168,07-02-2016,43500,57528,57528,03,33,0,2,17371.9,24797.766,0,529,30900,134300,6.5999999,181924
224,Archie Moody,615-763-773,07-06-2016,49800,65860,43536,05,37,1,2,88285.773,99558.617,1,717,56900,0,6.8299999,174238
225,Edith Riley,599-128-317,02-06-2016,41400,54751,54751,01,36,1,2,11423.438,22414.26,0,530,28000,109300,7.2800002,172933
226,Christy Rios,600-204-661,04-03-2016,49800,65860,65860,04,39,0,2,10165.516,25005.025,0,527,40700,56600,6.5300002,188860
227,Karla Ryan,577-300-889,01-02-2016,43400,57396,28730,03,35,1,2,22229.529,31482.4,2,579,56200,0,7.6500001,173818
228,Maxine Bennett,348-684-184,05-06-2016,42100,55677,18423,05,39,0,2,27760.115,19905.986,0,594,41200,0,6.3200002,205789
229,David Swanson,006-170-601,05-05-2016,42200,55809,27426,02,37,0,2,25113.305,2870.3889,0,590,38300,126100,6.2199998,210574
230,Virginia Love,738-115-832,06-05-2016,53200,70356,10860,02,39,0,2,4124.7788,0,0,499,37500,44700,6.29,158514
231,Patsy Howard,316-118-222,08-07-2016,44000,58189,58189,04,37,1,2,57723.926,63141.004,0,638,45000,177000,5.98,190302
232,Lorraine Brown,939-058-533,07-05-2016,45900,60702,60702,02,43,0,2,61692.621,75263.016,0,722,37300,0,6.3899999,181820
233,Alejandro Baldwin,665-053-999,06-07-2016,332000,439069,82228,05,26,1,1,0,13443.094,0,432,44400,28300,6.73,176993
234,Hubert Cole,519-526-132,04-02-2016,46600,61628,61628,03,37,0,2,60370.027,51025.828,0,680,37800,18900,6.27,160001
235,Rosemarie Phelps,785-433-115,06-05-2016,46900,62025,62025,02,36,1,3,68060.914,63939.027,3,701,36800,115700,6.7199998,203576
236,Josephine Mullins,240-315-154,06-05-2016,49000,64802,39390,04,34,1,2,69804.711,57354.637,2,697,51300,193000,6.8000002,202043
237,Johnathan Sherman,177-240-030,05-07-2016,43600,57660,57660,03,33,1,1,62640.547,75515.742,3,637,53600,187800,6.1900001,198779
238,Max Sparks,825-940-263,01-07-2016,52200,69034,69034,04,38,0,3,90452.531,54271.223,0,803,44800,85100,7.5100002,182082
239,Russell Gilbert,845-491-028,04-02-2016,44600,58983,31843,01,44,0,2,57263.457,56104.781,0,699,47100,0,6.4099998,226301
240,Alicia Reynolds,209-588-179,05-04-2016,43500,57528,18691,04,31,1,2,18043.961,0,3,529,47200,0,6,199817
241,Sheldon Bryant,944-269-528,07-02-2016,43800,57925,57925,05,31,0,2,55679.422,53303.938,0,591,40500,0,6.7600002,221655
242,Billy Walsh,326-880-239,07-05-2016,43900,58057,58057,02,39,1,2,54642.629,52211.617,1,726,36500,48100,6.71,192441
243,Elvira Lee,758-677-895,05-03-2016,42500,56206,56206,02,30,1,2,43153.316,38544.773,2,597,56100,103600,5.96,184634
244,Clay Cobb,255-782-206,07-05-2016,90900,120215,120215,05,25,0,3,0,0,0,463,49400,0,6.8600001,218205
245,Sophie Lopez,527-230-196,01-04-2016,43500,57528,30479,05,32,0,2,60325.094,83647.016,0,631,40800,67100,7.6300001,204739
246,Tony Clark,646-678-080,06-06-2016,41200,54486,21889,05,36,0,2,33007.953,18387.092,0,577,50000,168000,6.7800002,188727
247,Katherine Rose,560-916-075,04-05-2016,42900,56735,56735,01,41,1,2,46400.957,41645.578,1,647,51500,0,6.4899998,205559
248,Sharon Harvey,168-403-494,06-02-2016,43100,56999,56999,05,31,0,3,51873.344,59920.09,0,633,37100,0,7.1100001,178029
249,Wesley Maldonado,714-912-616,03-06-2016,43100,56999,28145,05,43,1,2,52409.367,80669.453,0,698,59400,0,7.2199998,207903
250,Jaime Vasquez,346-213-179,08-02-2016,44300,58586,40946,02,35,1,2,64548.176,46240.953,2,748,52200,0,6.48,190919
