id,name,SSN,date,loan_amt,amt_due,statecode,age,married,educ,W2inc_m1,W2inc_m2,taxdependent,creditscore,asset,debt,unemprate,avg_homeprice
463,Sandy Hopkins,215-026-791,03-07-2017,42200,55809,04,35,0,2,38116.652,38381.23,0,653,44200,0,7.21,190507
464,Erin Snyder,540-048-000,05-03-2017,42100,55677,03,33,0,2,35814.094,14336.221,0,573,46400,128400,6.73,184785
465,Lola Summers,664-827-569,05-07-2017,44600,58983,05,42,0,2,57923.547,51569.242,0,721,44200,11600,6.4400001,171994
466,Terrance Schultz,342-549-402,03-02-2017,44300,58586,04,30,1,2,58726.855,65010.691,0,677,51600,211000,7.0300002,173791
467,Tami Mason,978-060-279,07-06-2017,42600,56338,03,37,1,1,46125.031,67294.117,1,622,53300,59200,6.6300001,173440
468,June Wilkerson,816-996-162,07-03-2017,46900,62025,04,38,1,1,67840.227,49837.309,3,724,43800,0,6.6500001,198069
469,Eileen Farmer,367-337-445,07-05-2017,42500,56206,02,34,0,2,42563.129,59082.664,0,642,41800,0,6.4000001,178670
470,Joanne Ball,265-213-791,02-05-2017,55800,73795,04,34,1,2,3959.2605,7190.2021,3,508,52500,96700,7.3699999,182281
471,Kelly Reed,312-789-440,05-03-2017,41800,55280,03,36,1,2,32407.051,36358.125,2,632,23000,0,6.2600002,184235
472,Rafael Mcgee,711-047-209,03-07-2017,42400,56073,03,39,1,2,42374.277,25613.563,0,607,52000,95600,7.1100001,198103
473,Roger Richardson,590-803-649,06-04-2017,43000,56867,05,35,0,2,50448.781,23761.463,0,630,52600,0,6.54,171602
474,Dewey Griffith,562-432-677,09-06-2017,43700,57793,01,33,1,2,50718.176,57448.898,3,649,44500,0,5.8899999,172774
475,Melody Rodriguez,144-119-551,05-01-2017,55700,73663,04,34,1,3,0,0,0,483,37200,45900,5.9499998,206256
476,Bobby Harmon,386-259-092,10-05-2017,42300,55941,03,33,1,1,42001.605,27267.482,3,629,51700,39800,6.04,170501
477,Muriel Owen,912-569-517,09-05-2017,42200,55809,04,25,0,2,30482.188,21937.48,0,523,38700,0,6.0900002,214954
478,Jimmie Hogan,289-369-969,04-06-2017,97800,129340,04,33,1,3,0,0,3,435,49500,0,6.3400002,197754
479,Thomas Barton,003-181-781,10-04-2017,42600,56338,05,39,1,1,47496.785,45424.07,0,617,43900,0,6.2399998,168306
480,Carrie Jenkins,231-015-459,06-01-2017,42200,55809,05,28,0,2,39403.398,40044.605,0,557,38200,0,6.5,166980
481,Kendra Pierce,762-835-676,03-05-2017,54500,72076,03,33,1,2,83625.672,89015.773,1,722,57700,64000,7.0500002,198717
482,Blanche Diaz,112-092-278,06-07-2017,43000,56867,05,33,0,2,55992.547,29933.865,0,665,42700,0,6.4699998,223564
483,Wallace Drake,929-039-707,09-02-2017,42100,55677,04,33,1,2,40164.238,29787.836,0,601,53500,17600,6.1799998,198079
484,Cindy Austin,024-834-788,07-06-2017,43500,57528,05,31,0,3,24921.65,33131.848,0,544,43000,0,6.3200002,183178
485,Christopher Rice,493-801-773,04-01-2017,42600,56338,05,34,1,2,47623.953,56535.313,3,607,56600,0,6.3800001,198838
486,Joy Woods,293-247-144,04-03-2017,43800,57925,03,36,1,3,52463.723,26849.666,2,677,51200,128900,6.0999999,187495
487,Spencer Hayes,732-105-785,01-04-2017,47700,63083,03,38,1,2,63749.27,57437.703,0,724,38800,76700,7.3299999,185862
488,Johnnie Collins,142-459-187,02-01-2017,44200,58454,03,30,1,3,57010.484,70779.07,0,620,39500,0,7.4699998,189955
489,Harvey Peters,789-821-721,07-07-2017,42600,56338,04,32,0,2,46922.566,64392.074,0,590,45600,32100,6.1300001,195998
490,Ginger Howard,939-742-900,05-03-2017,43500,57528,01,47,0,2,51504.164,61699.293,0,739,52300,0,5.8800001,169298
491,Owen Poole,171-856-472,06-01-2017,42500,56206,02,33,0,2,43515.246,25344.854,0,642,29500,184700,6.7800002,162341
492,Calvin Brooks,228-332-795,08-03-2017,45500,60173,01,18,0,1,11673.771,0,0,444,33800,14700,6.2800002,185840
493,Pete Carlson,260-195-217,06-02-2017,43800,57925,03,32,0,2,54056.777,74531.148,0,710,54000,0,6.73,199086
494,Hector Ramirez,008-833-313,11-04-2017,42300,55941,02,34,0,2,29603.223,54964.266,0,594,50200,74400,6.3899999,187025
495,Micheal Frazier,166-208-982,03-01-2017,44200,58454,02,30,0,2,20241.494,41776.508,0,566,51700,64600,6.5700002,162480
496,Ronnie Newman,134-470-482,06-06-2017,57800,76440,03,44,1,2,104861.19,108334.3,3,881,39500,81400,6.6799998,179812
497,Archie Daniel,366-284-161,06-03-2017,42700,56470,05,30,1,3,28721.484,0,1,543,32300,114800,6.7800002,205810
498,Beulah Malone,185-968-901,07-03-2017,133000,175892,01,34,0,2,0,0,0,454,38600,0,6.6700001,213079
499,Joanna Douglas,809-141-489,03-07-2017,43300,57264,04,29,1,2,23318.184,15740.659,3,525,26100,200400,6.8000002,212826
500,Joseph Estrada,337-861-009,03-02-2017,43400,57396,01,34,0,2,18793.602,6000.2329,0,561,29200,122400,7.4099998,193371
